step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,0.1287274991011296,0.12637134504673053,8.520893350289967,0.7656051051299742,0.42095008027636194,0.4332928534468524,0.3092268383140138,1.692285587349141
1,0.08061537501441232,0.08428981078650757,11.631939279858708,1.1751403698031921,0.6484654787983907,0.6453722075581187,0.5420023169551298,1.7556951598452006
2,0.06155488515270494,0.07098538783414825,15.131446969907284,1.6149698888072346,0.8709720744350355,0.8950960771878179,0.8211468509018669,1.9077140172374127
3,0.03829348865442551,0.05296358338962894,18.91985780212495,2.18473838644779,1.1475530242451883,1.212504323148091,1.154982381531151,2.1844794006449866
4,0.03367185608898022,0.04651585226287004,19.496711953094596,2.3434296338132103,1.205371682305505,1.2663506761876755,1.212406557733397,2.2398829998982364
5,0.03275870542243267,0.0453360942199086,20.594292592069934,2.5138386917307547,1.2831981270468051,1.3583855641338156,1.3082633721352936,2.327066852239808
6,0.03208274645919773,0.04334060607586644,21.79635078993858,2.7142951526677557,1.3702619219562002,1.4571602754184667,1.4108513348871474,2.380560670529074
7,0.031410657116632434,0.04349430868196339,22.828950422899986,2.856633085036381,1.438917147757022,1.5436673526265041,1.4999115874365694,2.4595552095919953
8,0.031060969452399993,0.0436063578804849,23.45982895354677,2.9362222203098582,1.4784012519146021,1.5917783929230676,1.5491311252562898,2.5159079969053995
9,0.030565080357560177,0.04340938701650319,24.515965764673656,3.088973718829581,1.5492209758942064,1.6803407278053248,1.6401730791683684,2.6028731788165915
10,0.029993354911377786,0.042717061757158774,25.430267452624946,3.216309268144701,1.6117087931567309,1.7564492187323102,1.7176163837542795,4.701953979968742
11,0.029706630641807553,0.042852655817696324,25.990678284912956,3.2856292569785457,1.6459577688835516,1.799555275183965,1.7616593213348686,4.739421222232002
12,0.02937268407259676,0.04244858836931442,27.32136396673137,3.4826024990253637,1.7376481262966188,1.913054333073891,1.8775430125427712,4.817087217339958
13,0.028942072693774037,0.04099812074442401,30.02074171181501,3.890147271808055,1.9273178950355807,2.1478447632560305,2.1162395839378516,4.937556680758908
14,0.028674426951873448,0.04137202398444235,32.252152518877914,4.229285878242171,2.08320310401728,2.338562541865468,2.309622083078779,5.023358870618916
15,0.028412344934932974,0.041375058661457666,35.480214090350344,4.693459632461113,2.301578142966405,2.609807109917823,2.583814150478405,9.997373295882593
16,0.028213480066327477,0.04154762798271403,37.27696166088922,4.9457243382044505,2.418433402100124,2.755015355214231,2.7304889481604935,10.052847387855376
17,0.027823710059381886,0.04046189636403359,42.67266851833641,5.735904986356655,2.783079989207578,3.205936680870194,3.184767181917279,10.277246501027697
18,0.027602901592480883,0.040122698715651384,46.18572624203094,6.245169834255313,3.0209912388153346,3.503002614708453,3.4835892877345533,10.426561488139775
19,0.027276464411365112,0.040410411634370334,51.70806300296102,7.067727054059734,3.3997384917358517,3.9717126045420845,3.9545549305202496,10.657018327508027
20,0.027136695771911908,0.04004452532561215,58.3407883799795,8.059236882475195,3.8529639749993776,4.531020525245158,4.515982697961435,18.480594619803504
21,0.027038188905034875,0.04023701045561954,62.63367254775078,8.696302411025684,4.143175182042249,4.889028373677624,4.875125529320557,18.64668820322003
22,0.026973780127856287,0.04001872301431442,66.2910777027067,9.245779958360343,4.3918535306749,5.194382516478451,5.1813279304625945,18.78741749538716
23,0.026927969080860693,0.040192422498160046,65.8506532886569,9.163478492746979,4.35725042613172,5.155124994439125,5.141998839713872,18.767814886774783
24,0.026868335143887697,0.040391822662524814,70.36140091014052,9.795053187840008,4.653645289359253,5.5275199287861785,5.515282216914085,18.931392510767196
25,0.026826256280891702,0.04068337585975943,75.66678355436589,10.574177861861893,5.011565205395049,5.969679274644436,5.958297064570001,63.39731720554516
26,0.026786422229291153,0.0407311101495949,77.31077887970102,10.819976753884534,5.122754339911453,6.106700916713737,6.095607407150264,63.45808988841493
27,0.026751183392557616,0.040847232390353365,78.61324770716986,11.015062479488668,5.211318527819613,6.215108302106327,6.204187693796972,63.50319249861926
28,0.026706489128754306,0.04053908634496401,80.18374096930376,11.24014511370771,5.315664610281235,6.344223851900416,6.333552226849423,63.55883833411451
29,0.026648984267078974,0.040576779995721055,81.50485957972033,11.4384479599113,5.405233929090478,6.453640095256056,6.443143382687183,63.605950041290306
30,0.02660805201064915,0.04073354483605444,83.35795724985492,11.70014863699859,5.527614976378315,6.606802549068704,6.596558049219442,120.4529568266718
31,0.026564727407340727,0.04087325632032926,84.58678161925246,11.877201720864468,5.60917307943695,6.707885421798147,6.697768866297518,120.49490065941725
32,0.026504860044821037,0.04036692180453597,89.25542136918043,12.570780622874084,5.923232067319752,7.09470601678346,7.085171983356122,120.66287988977223
33,0.026430737694580847,0.04044923790096351,93.82200570876796,13.243516609534272,6.229404502110848,7.472760446090769,7.463700918457593,120.8317384602689
34,0.026317342059735988,0.04019918883463519,101.50419873459015,14.392912084651986,6.747370798196747,8.108670734657373,8.100360341843706,121.11424505140127
35,0.02627715810718056,0.04009719529917174,104.69749398039963,14.85631064712734,6.96052522753564,8.372620982940209,8.364555818786881,256.717073615724
36,0.026153719817623346,0.04005731577792724,116.88999080641904,16.654081100605108,7.777925316526384,9.379997712052567,9.372815929927219,257.1767566451512
37,0.02609526569256675,0.03977385701416326,120.8243889604426,17.25083317794971,8.042799283282644,9.70537870258577,9.698492060655783,257.3320748894482
38,0.02603330923369986,0.03999782781667494,129.83179227788895,18.579185165491612,8.647146784506633,10.449645499642218,10.443238039211069,257.6752291250549
39,0.02598253164731714,0.039790911532700556,127.47286918953283,18.23603127375526,8.489944939161443,10.255841241926442,10.249289641402612,257.58258563531905
40,0.025918357495835258,0.04012899248031906,132.0587093123561,18.886928522592527,8.79360428850419,10.634901138596542,10.628546444426433,503.71435198686794
41,0.02587657742786911,0.04008682705584406,132.36101110547125,18.922994999357158,8.81215447620486,10.660928380086276,10.654613127461573,503.7213402185076
42,0.02585562781315902,0.040189845551625254,133.8749175507874,19.138729026804068,8.912576389061142,10.785906567515841,10.779659302332055,503.7808048693231
43,0.0258436884668684,0.04020775845684659,136.97529536915084,19.587430556690453,9.118159979373534,11.042365588874649,11.036273101080306,503.8950756948164
44,0.025826303854835565,0.04015073926451941,136.96086946133528,19.57800256883736,9.11624739832645,11.041765947453614,11.035650889942138,503.8938462781599
45,0.02580905257559538,0.04008855134011165,139.47261492512825,19.950211438094588,9.285241584245448,11.250104128109715,11.244121287171318,604.7421545372433
46,0.02579899777687994,0.04017185055281522,140.61102508350436,20.105650584437015,9.359436877313444,11.34442626976676,11.33849374731678,604.7861998074691
47,0.025779534314173184,0.04013417743341932,142.1848602550482,20.316984675954572,9.461606306276847,11.475645696604118,11.46976347473778,604.8410444805602
48,0.025759901926630222,0.039941857662190244,141.46237131076754,20.196613279233613,9.409612235246003,11.416354292113244,11.410457637762704,604.8100051774354
49,0.025720956829271367,0.03985634712250943,144.61313879493423,20.663302731915582,9.622436602763305,11.678141875713363,11.672368212366147,604.9361736060795
