step,train_loss,test_loss,reg,subnode_act_mean,edge_act_mean,act_scale_mean,act_scale_spline_mean,coef_mean
0,0.23875415701463942,0.23944416980897804,9.179914496931936,1.2983131271478476,0.36180698602336,0.36686486134576324,0.34863712257980484,0.2514390132188725
1,0.2346725541258907,0.2388977477786178,9.046698639458711,1.2702153397598674,0.36864295767463123,0.3990652326777035,0.3750613429639426,0.33850388410473925
2,0.22939608726347768,0.24643674266686835,11.581822596227568,1.7321796438991122,0.5244809180406337,0.589027422319174,0.5696277678474219,0.4268512249923344
3,0.22369917639447082,0.23014731341270017,11.674002859586937,1.7408214567576938,0.5435810742135873,0.611002007629965,0.5877719216539027,0.4485564355294993
4,0.22112287516855145,0.22820627211908265,12.211930752289856,1.8154873019775488,0.5745511970021587,0.6535900928306358,0.6294521722502474,0.4904856196140571
5,0.2186778854434415,0.2251549398654697,11.99722192010895,2.0057355160498496,0.6000051822287906,0.6564074065288239,0.6340449777297891,0.8054561392257681
6,0.2174359174225155,0.226745548139701,12.104490838686925,1.9642614343368117,0.6019068472861145,0.6672226482482022,0.6430306942204369,0.8042240327181034
7,0.21726537717299466,0.22598922074589042,12.255603995265908,1.9986904403840322,0.6124037170996012,0.6809354151497856,0.6568571631062424,0.8150890152452019
8,0.21704872939362782,0.22574099525077831,12.389626611274023,2.0726473883859495,0.628215730606495,0.6941639275961972,0.6707928569659346,0.8246952936407658
9,0.21694099826210886,0.22570437584547337,12.533472047186901,2.089424403592815,0.6345886259946858,0.7046153851761902,0.6813645337365214,0.8322649174701973
10,0.21667796026022873,0.22676756299487538,12.855678511199619,2.1806271891256963,0.6589754236951104,0.7307711260754842,0.7082722245388351,0.9175723651569612
11,0.21636061716657737,0.2258586987713788,12.752459229875756,2.100958128126386,0.644605867306582,0.7261624792976643,0.702860255227689,0.9240887666466844
12,0.2161444557342614,0.22657763120677324,12.667777980376355,2.0534691519153907,0.6353109692677605,0.7224596155732578,0.6985711547059347,0.9409435476741435
13,0.21592087935308069,0.2269495041780029,13.225320103249288,2.2600924121644375,0.6860576656992734,0.7753683157986165,0.7530761788798591,0.9712933156735925
14,0.21508555526232495,0.22834377047152732,14.168499262564925,2.4094873795169223,0.734430466466261,0.8650048224423132,0.8442353249799214,1.1082162016594375
15,0.21461388456880218,0.22877629144582878,14.707427274054403,2.4894971132904935,0.76121637514873,0.922698401074742,0.9022114657927244,1.3714409342980545
16,0.21377923575500385,0.22702529211744726,15.806588812062769,2.7187845738379943,0.8233104828249316,1.034110777120658,1.0150717377139273,1.5605522915752292
17,0.21282571057377417,0.2255943271163233,16.398986603683216,2.8770457168879444,0.8617781100198546,1.0863696368217128,1.0687607347116075,1.5990745576462984
18,0.2125483142256546,0.22609743260281676,16.352225250853852,2.8961938863452694,0.8676944723589096,1.0805849714590552,1.0627456707586065,1.5733345084364918
19,0.2123882978220588,0.2258289090755201,16.747072722970817,2.987110987468418,0.8911503742852365,1.116548004325074,1.0993919769512461,1.6171218435750137
20,0.21223477585705872,0.22604810581994475,16.70604125347239,2.9600000646809597,0.8866522137276944,1.1111257109168693,1.093615080803797,1.798847408413283
21,0.21207617559584246,0.22607105000327943,16.720766302150338,2.949069473951184,0.8852077748039701,1.1123986974563778,1.0948973991314999,1.8132823360922297
22,0.2119067964832175,0.22538287855489372,16.68946875839861,2.925659057649564,0.8821295693757573,1.10793832770044,1.09014642746407,1.8269102093474947
23,0.211413004867907,0.22197234136837243,16.58966046556332,2.8778885368788423,0.8724779539925398,1.0929333483310826,1.0754840773707905,1.8718162063808066
24,0.21070829944183214,0.22067299213506436,16.67188340791925,2.898618435571142,0.8829863575983913,1.0963255340357116,1.0786286519059691,1.9411527356678762
25,0.21042338318271156,0.21995820189776707,16.808535244960705,2.926494316534791,0.8904656590564959,1.1040135746607935,1.0868981036813445,1.930096684341538
26,0.210194118844429,0.21926605270312446,16.90880763146072,2.967135109516645,0.9040660760912723,1.111911173755131,1.0945285889830876,1.9667953626062342
27,0.2101182476318669,0.218800087428138,16.97939372760876,2.9920463221608444,0.9098239388940123,1.1185477123452858,1.101519840452357,1.9851529223739393
28,0.20993933351714084,0.2188173623019728,17.35047719201907,3.086935578914724,0.9367266285793682,1.1503032708694312,1.1336862256434619,2.030521162056479
